"n","p","test","R_time","time_median","time_p10","time_p90","mem_median","mcse_time"
20000,4,"DEF.stukel",30,0.0422606000000769,0.0282776800001329,0.0557080399999904,9075624,0.00567240099890606
50000,4,"DEF.stukel",10,0.0722210000002406,0.0674854500002312,0.0768749400000616,22537768,0.00126902724414031
200,8,"DEF.stukel",30,0.00472760000002381,0.00405616000011833,0.00615788000025077,130584,0.000148905770820874
500,8,"DEF.stukel",30,0.00520045000030222,0.00342246000013801,0.00742057000022669,305592,0.000812901254760891
1000,8,"DEF.stukel",30,0.008231500000079,0.00383877000019765,0.0119036199999983,593688,0.000554358313414109
2000,8,"DEF.stukel",30,0.00933430000009139,0.00616277999993144,0.0139259300002095,1169880,0.000828837171478041
5000,8,"DEF.stukel",30,0.0141495500001838,0.00965960999985782,0.016788580000275,2923032,0.000529376711939051
10000,8,"DEF.stukel",30,0.0247834000001603,0.0160182700001769,0.0328286000001981,5828568,0.00131032539476131
20000,8,"DEF.stukel",30,0.0445619500001158,0.0338007800002743,0.0631066400002283,11639640,0.00227005947314681
50000,8,"DEF.stukel",10,0.078516000000036,0.0746979500002453,0.0847560800001702,28941784,0.00149821638416012
200,16,"DEF.stukel",30,0.0054621000001589,0.00472112000009019,0.00924114000013106,192952,0.000449678559700788
500,16,"DEF.stukel",30,0.00586845000020731,0.00395428000012998,0.00850286999998389,444760,0.000394721736725981
1000,16,"DEF.stukel",30,0.00905400000010559,0.00486254000018107,0.0137514900002089,860856,0.00111170761335733
2000,16,"DEF.stukel",30,0.0124001000000362,0.00708343000023887,0.02557003000029,1693048,0.00114625834167041
5000,16,"DEF.stukel",30,0.0169371000002912,0.0110833599999978,0.025072100000034,4214200,0.000935592546634043
10000,16,"DEF.stukel",30,0.0298174000001837,0.0189386400002832,0.0370344600001545,8399736,0.00128206556396401
